org_norm,company_id,decided_by,note
MICROSOFT CORPORATION,microsoft,ben,"Same company as Microsoft Technology Licensing LLC. MTL is the IP-holding entity; Microsoft Corporation is the pre-2014 filing entity. Merge."
LG CHEM LTD,lg-electronics,ben,"Batch1 Group2 - sibling operating company. Ben's ruling: merge siblings into parent brand (corporate-family rollup, diverges from IFI legal-entity accounting)."
LG DISPLAY CO LTD,lg-electronics,ben,"Batch1 Group2 - sibling operating company. Merge-siblings policy. NOTE: IFI ranks LG Display separately (#30 in 2025 Top 50) - merging breaks 1:1 comparability to that published ranking."
LG INNOTEK CO LTD,lg-electronics,ben,"Batch1 Group2 - sibling operating company. Merge-siblings policy."
SAMSUNG ELECTRO MECHANICS CO LTD,samsung-electronics,ben,"Batch1 Group2 - sibling operating company. Merge-siblings policy. Assigned to Samsung Electronics (flagship) rather than Samsung Display - not a display business. Confirm if wrong parent."
SAMSUNG MEDISON CO LTD,samsung-electronics,ben,"Batch1 Group2 - sibling operating company (medical devices). Merge-siblings policy. Assigned to Samsung Electronics as flagship parent by default (not display-related) - CONFIRM with Ben."
SAMSUNG SDS CO LTD,samsung-electronics,ben,"Batch1 Group2 - sibling operating company (IT services). Merge-siblings policy. Assigned to Samsung Electronics as flagship parent by default - CONFIRM with Ben."
TOYOTA BOSHOKU KABUSHIKI KAISHA,toyota,ben,"Batch1 Group2 - sibling operating company. Merge-siblings policy."
TOYOTA MOTOR ENGINEERING MANUFACTURING NORTH AME,toyota,ben,"Batch1 Group3 - regional subsidiary. Merge-subsidiaries policy. Source string is truncated (~50 char field limit in older PatEx records); Stage B variant-sweep catches other truncation lengths."
BEIJING BOE OPTOELECTRONICS TECHNOLOGY CO LTD,boe,ben,"Batch1 Group3 - regional subsidiary. Merge-subsidiaries policy."
BEIJING BOE DISPLAY TECHNOLOGY CO LTD,boe,ben,"Batch1 Group3 - regional subsidiary. Merge-subsidiaries policy."
HEFEI BOE OPTOELECTRONICS TECHNOLOGY CO LTD,boe,ben,"Batch1 Group3 - regional subsidiary. Merge-subsidiaries policy."
CHENGDU BOE OPTOELECTRONICS TECHNOLOGY CO LTD,boe,ben,"Batch1 Group3 - regional subsidiary. Merge-subsidiaries policy. NOTE: IFI ranks this entity SEPARATELY (#48 in 2025 Top 50) - merging breaks 1:1 comparability to that published ranking for BOE."
CHONGQING BOE OPTOELECTRONICS TECHNOLOGY CO LTD,boe,ben,"Batch1 Group3 - regional subsidiary. Merge-subsidiaries policy."
HUAWEI DEVICE CO LTD,huawei,ben,"Batch1 Group3 - product-line subsidiary. Merge-subsidiaries policy."
CANON MEDICAL SYSTEMS CORPORATION,canon,ben,"Batch1 Group4 - acquisition (formerly Toshiba Medical Systems; Canon acquired 2016, renamed 2018). Merge-acquisitions policy. No time-dependency issue: pre-rename filings are recorded under the Toshiba name, which shares no brand token with Canon, so they are correctly excluded already."
TOYOTA RESEARCH INSTITUTE INC,toyota,ben,"Batch1 Group5 - captive research institute. Merge-research policy."
CANON U S A INC,canon,ben,"Batch2 Group6 - national sales subsidiary. Merge-subsidiaries policy."
CANON USA INC,canon,ben,"Batch2 Group6 - national sales subsidiary. Merge-subsidiaries policy. Same entity as CANON U S A INC, different punctuation source."
TOYOTA MOTOR NORTH AMERICA INC,toyota,ben,"Batch2 Group6 - national sales subsidiary. Merge-subsidiaries policy."
TOYOTA MOTOR EUROPE,toyota,ben,"Batch2 Group6 - regional subsidiary. Merge-subsidiaries policy."
TOYOTA MOTOR EUROPE NV SA,toyota,ben,"Batch2 Group6 - regional subsidiary. Merge-subsidiaries policy."
TOYOTA MOTOR SALES U S A INC,toyota,ben,"Batch2 Group6 - national sales subsidiary. Merge-subsidiaries policy."
HUAWEI TECHNOLOGIES CANADA CO LTD,huawei,ben,"Batch2 Group6 - regional subsidiary. Merge-subsidiaries policy."
HUAWEI TECHNOLOGIES DUESSELDORF GMBH,huawei,ben,"Batch2 Group6 - regional subsidiary. Merge-subsidiaries policy."
HUAWEI INTERNATIONAL PTE LTD,huawei,ben,"Batch2 Group6 - regional subsidiary. Merge-subsidiaries policy."
HYUNDAI AMERICA TECHNICAL CENTER INC,hyundai,ben,"Batch2 Group6 - regional R&D/technical subsidiary. Merge-subsidiaries policy."
HYUNDAI MOTOR EUROPE TECHNICAL CENTER GMBH,hyundai,ben,"Batch2 Group6 - regional R&D/technical subsidiary. Merge-subsidiaries policy."
QUALCOMM TECHNOLOGIES INTERNATIONAL LTD,qualcomm,ben,"Batch2 Group6 - regional subsidiary (formerly CSR plc, UK). Merge-subsidiaries policy."
CANON EUROPA N V,canon,ben,"Batch2 Group6 - regional subsidiary. Merge-subsidiaries policy."
LG HAUSYS LTD,lg-electronics,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
LG CNS CO LTD,lg-electronics,ben,"Batch2 Group7 - sibling operating company (IT services). Merge-siblings policy."
LG HOUSEHOLD HEALTH CARE LTD,lg-electronics,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
LG FUEL CELL SYSTEMS INC,lg-electronics,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
LG SILTRON INC,lg-electronics,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy. Note: sold to SK in 2017 (became SK Siltron); filings under this name predate the sale, so no data-contamination risk (name is recorded as of filing date)."
LG SILTRON INCORPORATED,lg-electronics,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy. Same divestiture note as LG SILTRON INC."
LG NANOH2O INC,lg-electronics,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON ANELVA CORPORATION,canon,ben,"Batch2 Group7 - sibling operating company (semiconductor equipment). Merge-siblings policy."
CANON FINETECH NISCA INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON FINETECH INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON U S LIFE SCIENCES INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON DENSHI KABUSHIKI KAISHA,canon,ben,"Batch2 Group7 - sibling operating company (Canon Electronics, separately TSE-listed). Merge-siblings policy."
CANON INFORMATION AND IMAGING SOLUTIONS INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON ELECTRON TUBES DEVICES CO LTD,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON NANOTECHNOLOGIES INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON PRECISION INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
CANON VIRGINIA INC,canon,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
QUALCOMM MEMS TECHNOLOGIES INC,qualcomm,ben,"Batch2 Group7 - sibling operating company (Mirasol display tech, later wound down). Merge-siblings policy."
QUALCOMM INNOVATION CENTER INC,qualcomm,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
QUALCOMM SWITCH CORP,qualcomm,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
QUALCOMM CONNECTED EXPERIENCES INC,qualcomm,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
MICRON DEVICES LLC,micron,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy."
DELL SOFTWARE INC,dell,ben,"Batch2 Group7 - sibling operating company. Merge-siblings policy. Note: divested 2016 (became Quest Software/SonicWall); filings under this name predate the sale, so no data-contamination risk."
SAMSUNG RESEARCH AMERICA INC,samsung-electronics,ben,"Batch2 Group9 - captive R&D arm. Merge-research policy, parallel to Toyota Research Institute."
MICROSOFT ISRAEL RESEARCH AND DEVELOPMENT 2002 L,microsoft,ben,"Batch2 Group9 - captive R&D arm. Merge-research policy. Source string truncated (~50 char field limit)."
HYUNDAI WIA CORPORATION,hyundai,ben,"Batch2 - auto-parts/machine-tools affiliate, core Hyundai Motor Group business. Reclassified from initial 'flagged' hedge to merge: same shape as Toyota Boshoku (Batch1 Group2, merged)."
HYUNDAI TRANSYS INC,hyundai,ben,"Batch2 - auto transmissions affiliate, directly automotive. Reclassified from initial 'flagged' hedge to merge, same reasoning as Hyundai Wia."
HYUNDAI TRANSLEAD,hyundai,ben,"Batch2 - Hyundai-branded US commercial trailer manufacturing subsidiary. Reclassified from initial 'flagged' hedge to merge, same reasoning as Hyundai Wia."
HITACHI LG DATA STORAGE INC,EXCLUDE,ben,"Batch2 Group8 - joint venture with Hitachi (optical disc drives). Ben's ruling: do not merge JVs - shared IP ownership, not wholly LG's output."
HITACHI LG DATA STORAGE KOREA INC,EXCLUDE,ben,"Batch2 Group8 - joint venture with Hitachi. Do-not-merge-JVs policy."
SAMSUNG CORNING PRECISION MATERIALS CO LTD,EXCLUDE,ben,"Batch2 Group8 - joint venture with Corning (glass substrates). Do-not-merge-JVs policy."
TOSHIBA SAMSUNG STORAGE TECHNOLOGY KOREA CORPORATI,EXCLUDE,ben,"Batch2 Group8 - joint venture with Toshiba (optical disc drives). Do-not-merge-JVs policy. Source string truncated."
HYUNDAI KEFICO CORPORATION,EXCLUDE,ben,"Batch2 Group8 - historically a JV (Bosch/Delphi involvement) for fuel-injection/auto-electronics. Do-not-merge-JVs policy."
SAMSUNG HEAVY IND CO LTD,EXCLUDE,ben,"Batch2 flagged - shipbuilding, unrelated business, matched only on shared brand name. Claude's recommendation, applied."
SAMSUNG LIFE PUBLIC WELFARE FOUNDATION,EXCLUDE,ben,"Batch2 flagged - charitable foundation, not an operating/filing business in scope. Claude's recommendation, applied."
HYUNDAI HEAVY INDUSTRIES CO LTD,EXCLUDE,ben,"Batch2 flagged - shipbuilding/heavy machinery, historically spun off, separately listed, different business from Hyundai Motor. Claude's recommendation, applied."
HYUNDAI STEEL COMPANY,EXCLUDE,ben,"Batch2 flagged - steelmaker, separately listed, different business from Hyundai Motor. Claude's recommendation, applied."
HYUNDAI CARD CO LTD,EXCLUDE,ben,"Batch2 flagged - credit card/financial services, different industry entirely. Claude's recommendation, applied."
INTERNATIONAL ELECTRONIC MACHINES CORPORATION,EXCLUDE,ben,"Batch2 flagged - real, unrelated company (railway inspection technology); matched IBM only via the weak token MACHINES. False positive. Claude's recommendation, applied."
TAIWAN SEMICONDUCTOR CO LTD,EXCLUDE,ben,"Batch2 flagged - possibly a different, real, separately-listed company (ticker 2325.TW, discrete semiconductors) distinct from TSMC (2330.TW). Cannot verify identity from patent data alone; excluded pending verification. Claude's recommendation, applied."
